id,個案研判日,個案公佈日,縣市別,區域,全稱,Lat,Long_,新增確診人數,累計確診人數
2,2022/6/9,2022/6/9,南投縣,南投市,南投縣南投市,23.9179637,120.6775054,335,8666
3,2022/6/9,2022/6/9,南投縣,草屯鎮,南投縣草屯鎮,23.9933816,120.7234992,334,6811
4,2022/6/9,2022/6/9,南投縣,埔里鎮,南投縣埔里鎮,23.9932872,120.9646866,252,5129
5,2022/6/9,2022/6/9,南投縣,竹山鎮,南投縣竹山鎮,23.712201,120.6890055,120,3655
6,2022/6/9,2022/6/9,南投縣,名間鄉,南投縣名間鄉,23.8537843,120.6775054,101,2317
7,2022/6/9,2022/6/9,南投縣,仁愛鄉,南投縣仁愛鄉,24.0213745,121.1252135,94,1680
8,2022/6/9,2022/6/9,南投縣,信義鄉,南投縣信義鄉,23.6679756,120.9876321,83,1488
9,2022/6/9,2022/6/9,南投縣,國姓鄉,南投縣國姓鄉,24.0564429,120.8728615,52,799
10,2022/6/9,2022/6/9,南投縣,鹿谷鄉,南投縣鹿谷鄉,23.7348372,120.7809676,42,781
11,2022/6/9,2022/6/9,南投縣,水里鄉,南投縣水里鄉,23.7919524,120.8613785,34,677
12,2022/6/9,2022/6/9,南投縣,中寮鄉,南投縣中寮鄉,23.9058666,120.7809676,49,580
13,2022/6/9,2022/6/9,南投縣,魚池鄉,南投縣魚池鄉,23.8753852,120.9187827,19,473
14,2022/6/9,2022/6/9,南投縣,集集鎮,南投縣集集鎮,23.8279876,120.7925043,15,395
16,2022/6/9,2022/6/9,台中市,北屯區,台中市北屯區,24.1815237,120.6861019,828,25297
17,2022/6/9,2022/6/9,台中市,西屯區,台中市西屯區,24.1769764,120.6424333,840,24962
18,2022/6/9,2022/6/9,台中市,大里區,台中市大里區,24.1046899,120.6812114,937,21418
19,2022/6/9,2022/6/9,台中市,太平區,台中市太平區,24.1240719,120.7170701,747,20199
20,2022/6/9,2022/6/9,台中市,南屯區,台中市南屯區,24.1471183,120.6084832,568,15909
21,2022/6/9,2022/6/9,台中市,北區,台中市北區,24.1573171,120.6832556,451,15092
22,2022/6/9,2022/6/9,台中市,豐原區,台中市豐原區,24.2521213,120.7234816,570,13849
23,2022/6/9,2022/6/9,台中市,南區,台中市南區,24.1208445,120.6624117,419,12111
24,2022/6/9,2022/6/9,台中市,沙鹿區,台中市沙鹿區,24.2377939,120.5854674,413,11367
25,2022/6/9,2022/6/9,台中市,大雅區,台中市大雅區,24.2225023,120.6545022,395,10291
26,2022/6/9,2022/6/9,台中市,西區,台中市西區,24.1430604,120.6631289,323,10158
27,2022/6/9,2022/6/9,台中市,潭子區,台中市潭子區,24.2163612,120.7062535,382,9958
28,2022/6/9,2022/6/9,台中市,清水區,台中市清水區,24.2754785,120.571328,303,8888
29,2022/6/9,2022/6/9,台中市,烏日區,台中市烏日區,24.107787,120.6380936,289,8375
30,2022/6/9,2022/6/9,台中市,龍井區,台中市龍井區,24.2101223,120.5057794,279,8180
31,2022/6/9,2022/6/9,台中市,梧棲區,台中市梧棲區,24.2490793,120.5386546,273,8152
32,2022/6/9,2022/6/9,台中市,東區,台中市東區,24.1427702,120.6944233,242,7971
33,2022/6/9,2022/6/9,台中市,霧峰區,台中市霧峰區,24.044318,120.7350013,258,6872
34,2022/6/9,2022/6/9,台中市,大甲區,台中市大甲區,24.3788233,120.6487508,278,6682
35,2022/6/9,2022/6/9,台中市,神岡區,台中市神岡區,24.2499057,120.6817589,235,6319
36,2022/6/9,2022/6/9,台中市,大肚區,台中市大肚區,24.1358732,120.5624474,229,5578
37,2022/6/9,2022/6/9,台中市,后里區,台中市后里區,24.3088765,120.7223705,194,4267
38,2022/6/9,2022/6/9,台中市,東勢區,台中市東勢區,24.2599898,120.8272085,149,3059
39,2022/6/9,2022/6/9,台中市,外埔區,台中市外埔區,24.3317733,120.6533224,116,2639
40,2022/6/9,2022/6/9,台中市,中區,台中市中區,24.1402601,120.6818181,77,1903
41,2022/6/9,2022/6/9,台中市,大安區,台中市大安區,24.3702355,120.5912217,81,1516
42,2022/6/9,2022/6/9,台中市,新社區,台中市新社區,24.1867194,120.8154358,51,1248
43,2022/6/9,2022/6/9,台中市,石岡區,台中市石岡區,24.2742426,120.7771553,39,892
44,2022/6/9,2022/6/9,台中市,和平區,台中市和平區,24.3207261,121.3084088,66,771
